### Protein	3DFI name	plDDT score	AlphaFold ranked name	AlphaFold unranked name
ECU01_0120	ECU01_0120-m3.pdb	79.79740381046004	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0120	ECU01_0120-m4.pdb	78.40936326633735	ranked_3.pdb	unrelaxed_model_1.pdb
ECU01_0120	ECU01_0120-m5.pdb	78.00248269153242	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0130	ECU01_0130-m1.pdb	80.59480971423517	ranked_0.pdb	unrelaxed_model_4.pdb
ECU01_0130	ECU01_0130-m2.pdb	79.94112475301252	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0130	ECU01_0130-m3.pdb	79.21564593578803	ranked_2.pdb	unrelaxed_model_3.pdb
ECU01_0130	ECU01_0130-m4.pdb	79.10957429858006	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0130	ECU01_0130-m5.pdb	78.90208958931059	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0140	ECU01_0140-m1.pdb	92.6165842282806	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0140	ECU01_0140-m2.pdb	92.1827046135017	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0140	ECU01_0140-m3.pdb	91.92294031616721	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0140	ECU01_0140-m4.pdb	91.8617599860149	ranked_3.pdb	unrelaxed_model_1.pdb
ECU01_0140	ECU01_0140-m5.pdb	90.69467451668316	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0170	ECU01_0170-m1.pdb	94.99292484667909	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0170	ECU01_0170-m2.pdb	94.69857739708023	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0170	ECU01_0170-m3.pdb	94.67852333604596	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0170	ECU01_0170-m4.pdb	94.48962040165512	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0170	ECU01_0170-m5.pdb	93.51856935540172	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0180	ECU01_0180-m1.pdb	96.1973045024837	ranked_0.pdb	unrelaxed_model_3.pdb
ECU01_0180	ECU01_0180-m2.pdb	95.93302597587186	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0180	ECU01_0180-m3.pdb	95.8607385563159	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0180	ECU01_0180-m4.pdb	95.60894111249762	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0180	ECU01_0180-m5.pdb	95.4482261893796	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0190	ECU01_0190-m1.pdb	95.16936552736819	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0190	ECU01_0190-m2.pdb	95.02826448859267	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0190	ECU01_0190-m3.pdb	94.76938895739583	ranked_2.pdb	unrelaxed_model_3.pdb
ECU01_0190	ECU01_0190-m4.pdb	94.66289860807512	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0190	ECU01_0190-m5.pdb	94.39261815008683	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0210	ECU01_0210-m1.pdb	92.73259839217047	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0210	ECU01_0210-m2.pdb	92.19792964916071	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0210	ECU01_0210-m3.pdb	91.45046681284519	ranked_2.pdb	unrelaxed_model_5.pdb
ECU01_0210	ECU01_0210-m4.pdb	90.44304240596978	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0210	ECU01_0210-m5.pdb	89.86186646669985	ranked_4.pdb	unrelaxed_model_3.pdb
ECU01_0220	ECU01_0220-m1.pdb	70.83875878867556	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0220	ECU01_0220-m2.pdb	69.92650643747491	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0220	ECU01_0220-m3.pdb	69.41961170691634	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0220	ECU01_0220-m4.pdb	68.0757525819281	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0220	ECU01_0220-m5.pdb	68.02233065677773	ranked_4.pdb	unrelaxed_model_3.pdb
